date,user_name,text
2010-09-30 15:10:00,realDonaldTrump,Tune in tonight at 10 pm on NBC for another exciting episode of The Apprentice -- and see the Dog Whisperer make an appearance.
2010-10-01 15:59:00,realDonaldTrump,Read Ivanka's blog about last night's Apprentice on Entertainment Weekly ...http://bit.ly/bMNF72
2010-10-06 13:40:00,realDonaldTrump,"I'm honored to be presented the award of Doctor of Business Administration Honoris Causa from Robert Gordon University in Aberdeen, Scotland"
2010-10-07 14:11:00,realDonaldTrump,Don't forget to tune in tonight for another exciting episode of The Apprentice--10 p.m. on NBC.
2010-10-07 14:22:00,realDonaldTrump,Scotland is beautiful and Trump Internatonal Golf Links-Scotland is progressing beautifully as well.  http://bit.ly/bUWWNb
2010-10-14 14:00:00,realDonaldTrump,"Be sure to watch The Apprentice tonight, 10 p.m. on NBC--it's an episode you won't forget!"
2010-10-14 17:48:00,realDonaldTrump,"An HR solutions company polled 1,000 employed adults to find out who would make ideal bosses...   http://bit.ly/9uP9vj"
2010-10-21 16:38:00,realDonaldTrump,Don't forget to tune in tonight to see another unpredictable and exciting episode of The Apprentice-- 10 pm on NBC
2010-10-27 13:14:00,realDonaldTrump,"Be prepared for a sensational episode of The Apprentice tomorrow night, 10 pm on NBC."
2010-10-28 18:53:00,realDonaldTrump,"I was on The View this morning. We talked about The Apprentice. Tonight's episode is a great one--tough, exciting and surprising. 10 pm/NBC"
2010-11-03 20:11:00,realDonaldTrump,"I'll be discussing a variety of topics tonight with Greta Van Susteren, 10 p.m. on Fox News. It will be the first of a two part series."
2010-11-04 15:00:00,realDonaldTrump,Tonight's episode of The Apprentice is one you won't want to miss! Be sure to tune in--10 p.m. on NBC.
2010-11-11 15:20:00,realDonaldTrump,Tonight's episode of The Apprentice has a big surprise at the top of the show -- don't miss it! 10 p.m. on NBC.
2010-11-15 19:42:00,realDonaldTrump,My interview last week with Greta van Susteren is available here in slightly abridged form. http://bit.ly/96ztOA  Good info to know about.
2010-11-18 15:45:00,realDonaldTrump,We're getting down to the wire on The Apprentice--tune in tonight for some great action! 10 p.m. on NBC.
2010-11-18 17:11:00,realDonaldTrump,"""""""CNBC Titans: Donald Trump """" will be shown Friday Nov 19th at 9 pm and 1 am, Sunday 11/21 at 9 pm and  11/24 at 7 pm   http://bit.ly/ckojPN"""
2010-11-22 17:22:00,realDonaldTrump,Staff Sgt. Salvatore A. Giunta received the Medal of Honor from Pres. Obama this month. It was a great honor to have him visit me today.
2010-11-24 15:53:00,realDonaldTrump,Watch CNN tomorrow at 2 pm & 5 pm and on Friday at 7 pm & 11 pm for a Thanksgiving Special hosted by John King. I'll be a featured guest.
